rendering	words	negations	abstract_terms
decision-inbox	865	32	12
decision-inbox-empty	77	4	1
decision-inbox-unavailable	125	6	0
decision-result	411	15	5
implement-directed	4729	95	50
implement-inspect	194	4	0
implement-prepare	167	5	0
implement-resume	4591	91	46
implement-rework	4693	95	50
implement-start	4587	92	47
installed-pi-implement-loop	100	3	0
installed-pi-implement-runner	299	10	0
installed-pi-watchdog-loop	48	1	0
installed-pi-watchdog-runner	117	2	0
outcome-implement-fix-required	40	1	0
outcome-implement-needs-human	68	1	0
outcome-implement-next-no-work	2	0	0
outcome-implement-release	14	0	2
outcome-implement-submit	68	1	0
outcome-ledger-accept-accepted	62	3	0
outcome-ledger-accept-existing	62	3	0
outcome-ledger-accept-fix-required	21	0	0
outcome-ledger-present	69	1	0
outcome-ledger-publish	59	1	0
outcome-ledger-show	73	2	0
outcome-propose-cleanup	10	0	0
outcome-skill-implement	42	1	0
outcome-skill-watchdog	33	0	0
outcome-watchdog-next-no-work	2	0	0
outcome-watchdog-submit-needs-human	68	1	0
outcome-watchdog-submit-pass	68	1	0
outcome-watchdog-submit-rework	68	1	0
resource-audit-acceptance	406	10	15
resource-audit-smells	393	6	0
resource-decision-triage	699	30	12
resource-design-DEEPENING	444	12	3
resource-design-DESIGN-IT-TWICE	440	4	1
resource-domain-ADR-FORMAT	443	11	2
resource-domain-CONTEXT-FORMAT	399	3	2
resource-implement-ledger-submission	512	16	5
resource-implement-pull-presentation	206	8	2
resource-propose-behavior	392	9	1
resource-propose-intent	316	7	2
resource-propose-issue-publication	384	12	4
resource-propose-plan	326	4	9
resource-propose-tasks	162	3	1
resource-testing-mocking	234	2	4
resource-testing-tests	455	10	7
resource-watchdog-ledger-review	397	12	9
resource-writing-for-agents-SKILL-MECHANICS	436	10	0
setup-agents-block	322	5	4
skill-audit	835	18	10
skill-brainstorm	192	3	0
skill-decision	156	6	2
skill-design	885	9	4
skill-domain	542	9	1
skill-explore	1066	19	2
skill-propose	3141	62	33
skill-shape	244	5	1
skill-testing	603	14	15
skill-writing-for-agents	1797	31	2
stub-audit	56	0	0
stub-brainstorm	41	0	0
stub-decision	45	0	0
stub-design	68	0	0
stub-domain	64	0	0
stub-explore	51	0	0
stub-implement	42	0	0
stub-propose	51	1	0
stub-shape	38	0	0
stub-testing	58	0	1
stub-watchdog	64	0	1
stub-writing-for-agents	43	0	0
watchdog-inspect	211	4	1
watchdog-inspect-full	215	4	1
watchdog-inspect-incremental	215	4	1
watchdog-prepare	190	5	1
watchdog-repeat	1370	35	17
watchdog-repeat-full	1363	36	17
watchdog-repeat-incremental	1382	36	17
watchdog-start	1309	35	17
journey: implement → watchdog	8908	201	110
